,type
15533,trojan
9777,benign
10829,benign
941,adware
8962,benign
4073,adware
16086,trojan
11839,benign
2887,adware
8355,benign
15981,trojan
1867,adware
8670,benign
5742,worm
16117,trojan
4455,worm
13585,trojan
17047,trojan
11254,benign
2001,adware
12413,benign
14058,trojan
4433,worm
10037,benign
14014,trojan
1636,adware
16045,trojan
8089,worm
11548,benign
5811,worm
6520,worm
8662,benign
9429,benign
729,adware
4037,adware
12999,trojan
9140,benign
9925,benign
3903,adware
3864,adware
13277,trojan
13388,trojan
8264,benign
5293,worm
9889,benign
6224,worm
10895,benign
16532,trojan
11351,benign
1787,adware
5810,worm
14946,trojan
8227,benign
2567,adware
14565,trojan
533,adware
12738,trojan
11399,benign
433,adware
6476,worm
13821,trojan
15565,trojan
6987,worm
158,adware
6659,worm
14401,trojan
9792,benign
2789,adware
11582,benign
16685,trojan
1350,adware
6235,worm
13201,trojan
16879,trojan
2353,adware
16038,trojan
1667,adware
3124,adware
483,adware
12967,trojan
1178,adware
10436,benign
3044,adware
6930,worm
15356,trojan
11376,benign
5401,worm
14808,trojan
4554,worm
1730,adware
6616,worm
6260,worm
10226,benign
13035,trojan
6776,worm
3031,adware
7379,worm
12853,trojan
12127,benign
5366,worm
2188,adware
14404,trojan
16446,trojan
10692,benign
12564,trojan
10495,benign
10707,benign
10553,benign
4530,worm
7963,worm
9828,benign
11702,benign
6414,worm
2935,adware
16046,trojan
932,adware
4563,worm
8879,benign
14730,trojan
4108,adware
10103,benign
3399,adware
14313,trojan
3993,adware
8321,benign
3835,adware
10039,benign
494,adware
14151,trojan
4386,worm
5681,worm
12114,benign
5407,worm
14135,trojan
7218,worm
12083,benign
1028,adware
6519,worm
16447,trojan
8710,benign
2044,adware
10929,benign
8317,benign
1936,adware
10918,benign
6626,worm
4594,worm
11016,benign
6686,worm
15448,trojan
4858,worm
11587,benign
13094,trojan
7131,worm
508,adware
4322,worm
16762,trojan
4690,worm
9172,benign
2803,adware
13301,trojan
10991,benign
8913,benign
6251,worm
13692,trojan
9022,benign
16674,trojan
9727,benign
11616,benign
13848,trojan
7878,worm
7401,worm
6790,worm
3936,adware
15316,trojan
15205,trojan
12521,benign
937,adware
694,adware
12187,benign
5402,worm
2664,adware
2154,adware
5765,worm
12833,trojan
12910,trojan
13227,trojan
4762,worm
16678,trojan
12240,benign
4089,adware
15431,trojan
15173,trojan
16203,trojan
15944,trojan
599,adware
7042,worm
15401,trojan
2120,adware
2751,adware
10794,benign
15675,trojan
10787,benign
2780,adware
2937,adware
14717,trojan
13428,trojan
6945,worm
15975,trojan
621,adware
16442,trojan
12636,trojan
8169,worm
94,adware
363,adware
12048,benign
1182,adware
14984,trojan
13405,trojan
8892,benign
11808,benign
5369,worm
13034,trojan
12407,benign
14816,trojan
8983,benign
11055,benign
7576,worm
4872,worm
11475,benign
9445,benign
6167,worm
10516,benign
7687,worm
11795,benign
3419,adware
7267,worm
13853,trojan
4712,worm
2915,adware
873,adware
13225,trojan
16843,trojan
6836,worm
4381,worm
10703,benign
7665,worm
1905,adware
11718,benign
12905,trojan
7195,worm
6649,worm
9778,benign
8391,benign
12343,benign
7684,worm
5949,worm
7845,worm
12882,trojan
5491,worm
9147,benign
8810,benign
6788,worm
3418,adware
9314,benign
16513,trojan
1719,adware
16529,trojan
280,adware
8862,benign
16494,trojan
16035,trojan
2211,adware
10676,benign
17030,trojan
986,adware
4538,worm
11709,benign
14966,trojan
14726,trojan
6936,worm
2134,adware
8300,benign
12023,benign
4797,worm
11617,benign
10617,benign
6976,worm
886,adware
16744,trojan
11993,benign
9155,benign
1900,adware
5347,worm
11882,benign
10915,benign
5142,worm
3565,adware
16199,trojan
9682,benign
5261,worm
16901,trojan
9598,benign
2049,adware
7385,worm
12832,trojan
14448,trojan
16244,trojan
9292,benign
9543,benign
15319,trojan
11438,benign
12007,benign
5731,worm
371,adware
5781,worm
12857,trojan
6205,worm
15732,trojan
11654,benign
8514,benign
4792,worm
15673,trojan
2073,adware
688,adware
2645,adware
15687,trojan
4142,worm
7966,worm
14294,trojan
3471,adware
939,adware
16088,trojan
1390,adware
1928,adware
7067,worm
10883,benign
14434,trojan
1823,adware
16551,trojan
12497,benign
3239,adware
8127,worm
12793,trojan
8640,benign
1212,adware
15248,trojan
12670,trojan
8939,benign
1849,adware
2989,adware
6012,worm
6126,worm
15914,trojan
718,adware
16872,trojan
1487,adware
13685,trojan
10785,benign
6077,worm
12011,benign
8017,worm
1811,adware
16777,trojan
6366,worm
8138,worm
15670,trojan
5127,worm
2105,adware
8839,benign
835,adware
11117,benign
12565,trojan
12230,benign
7791,worm
16775,trojan
15936,trojan
13913,trojan
6229,worm
11406,benign
16999,trojan
16353,trojan
7683,worm
6264,worm
4473,worm
14803,trojan
15004,trojan
8724,benign
10402,benign
12899,trojan
3826,adware
3633,adware
7771,worm
7801,worm
13919,trojan
10398,benign
2299,adware
7446,worm
757,adware
8545,benign
5454,worm
7491,worm
1644,adware
58,adware
7521,worm
71,adware
9680,benign
10835,benign
4458,worm
3277,adware
14743,trojan
4242,worm
10391,benign
9616,benign
3783,adware
3608,adware
11917,benign
14660,trojan
4361,worm
8224,benign
876,adware
16929,trojan
8271,benign
16806,trojan
11435,benign
11515,benign
11608,benign
14162,trojan
10461,benign
8805,benign
11316,benign
7147,worm
3605,adware
5933,worm
10756,benign
10627,benign
5645,worm
7434,worm
8493,benign
7124,worm
8564,benign
5929,worm
1077,adware
16624,trojan
13174,trojan
15388,trojan
4440,worm
8339,benign
13162,trojan
6225,worm
6299,worm
2923,adware
12533,benign
15183,trojan
16076,trojan
11588,benign
1462,adware
953,adware
2250,adware
11984,benign
15956,trojan
2241,adware
5179,worm
5292,worm
13917,trojan
10567,benign
1159,adware
1796,adware
4967,worm
465,adware
4315,worm
3144,adware
5744,worm
10454,benign
9493,benign
6465,worm
7190,worm
15706,trojan
1919,adware
13976,trojan
7323,worm
4957,worm
16218,trojan
2130,adware
13086,trojan
7744,worm
16943,trojan
8557,benign
12065,benign
8179,worm
4443,worm
8124,worm
14665,trojan
360,adware
7060,worm
3381,adware
5816,worm
15676,trojan
4926,worm
12846,trojan
15008,trojan
13764,trojan
9902,benign
8598,benign
6949,worm
487,adware
2642,adware
11338,benign
13355,trojan
5444,worm
3174,adware
7093,worm
2252,adware
5820,worm
2598,adware
8743,benign
7831,worm
5786,worm
6246,worm
1046,adware
15742,trojan
179,adware
13744,trojan
671,adware
2825,adware
15263,trojan
376,adware
12289,benign
10095,benign
12613,trojan
2530,adware
10340,benign
2702,adware
15889,trojan
3483,adware
12292,benign
4613,worm
13509,trojan
16104,trojan
8955,benign
10675,benign
3688,adware
417,adware
7640,worm
14212,trojan
14268,trojan
665,adware
13136,trojan
8700,benign
15764,trojan
9507,benign
16813,trojan
11122,benign
14423,trojan
15741,trojan
1716,adware
12013,benign
12332,benign
2079,adware
5175,worm
5140,worm
16689,trojan
15918,trojan
6092,worm
4716,worm
16187,trojan
4809,worm
7040,worm
16809,trojan
16252,trojan
1285,adware
8063,worm
11047,benign
15040,trojan
4325,worm
1202,adware
11724,benign
7097,worm
4639,worm
7204,worm
5120,worm
2064,adware
1136,adware
6508,worm
14009,trojan
16703,trojan
6420,worm
14083,trojan
5018,worm
12765,trojan
13114,trojan
11007,benign
7529,worm
945,adware
1243,adware
1968,adware
12729,trojan
10793,benign
11514,benign
15623,trojan
2791,adware
10453,benign
2103,adware
2017,adware
9648,benign
16256,trojan
9413,benign
13289,trojan
13021,trojan
15508,trojan
4427,worm
10806,benign
6005,worm
15600,trojan
10370,benign
2347,adware
1559,adware
13865,trojan
12159,benign
6376,worm
770,adware
15221,trojan
223,adware
13026,trojan
16010,trojan
12699,trojan
11583,benign
4709,worm
7003,worm
9417,benign
12502,benign
697,adware
3225,adware
5528,worm
15271,trojan
12562,trojan
1878,adware
13287,trojan
5242,worm
16114,trojan
9674,benign
15245,trojan
3062,adware
10026,benign
4949,worm
12006,benign
2268,adware
4389,worm
12262,benign
9020,benign
6523,worm
1443,adware
9624,benign
12919,trojan
13164,trojan
1281,adware
16664,trojan
5788,worm
5424,worm
4414,worm
8717,benign
14042,trojan
12517,benign
5174,worm
16360,trojan
1970,adware
1678,adware
7139,worm
9570,benign
2438,adware
17013,trojan
5075,worm
10049,benign
15347,trojan
12435,benign
7377,worm
789,adware
13612,trojan
25,adware
12739,trojan
4515,worm
14357,trojan
12077,benign
14035,trojan
2169,adware
6562,worm
11536,benign
15466,trojan
6004,worm
15350,trojan
9246,benign
4205,worm
6555,worm
13024,trojan
7386,worm
15371,trojan
9031,benign
13339,trojan
1994,adware
2223,adware
4713,worm
7406,worm
3153,adware
4947,worm
3431,adware
12173,benign
12004,benign
17038,trojan
15311,trojan
1179,adware
4587,worm
8449,benign
8123,worm
9503,benign
445,adware
1410,adware
5934,worm
8784,benign
1174,adware
1469,adware
14057,trojan
14670,trojan
6872,worm
5014,worm
2314,adware
12216,benign
13752,trojan
1252,adware
9538,benign
9280,benign
5740,worm
11781,benign
4502,worm
9245,benign
16516,trojan
2067,adware
7396,worm
11849,benign
14810,trojan
7349,worm
2290,adware
10195,benign
9839,benign
6843,worm
13970,trojan
10325,benign
7336,worm
214,adware
15023,trojan
2139,adware
15527,trojan
14254,trojan
6244,worm
4630,worm
16184,trojan
4717,worm
9638,benign
11081,benign
12264,benign
15246,trojan
8359,benign
6665,worm
4043,adware
14329,trojan
9474,benign
5167,worm
11054,benign
12953,trojan
882,adware
8072,worm
4158,worm
10919,benign
2944,adware
16818,trojan
8975,benign
3300,adware
14993,trojan
5019,worm
12107,benign
3178,adware
6175,worm
9252,benign
1168,adware
14389,trojan
9298,benign
2121,adware
13424,trojan
8704,benign
14400,trojan
15646,trojan
4415,worm
7156,worm
12512,benign
7694,worm
3737,adware
15937,trojan
17066,trojan
1068,adware
8625,benign
16168,trojan
12029,benign
9039,benign
2197,adware
7810,worm
15814,trojan
13379,trojan
13107,trojan
1554,adware
10816,benign
12945,trojan
5320,worm
15189,trojan
15547,trojan
566,adware
16897,trojan
14567,trojan
9248,benign
10521,benign
294,adware
6710,worm
13184,trojan
6668,worm
10873,benign
845,adware
14645,trojan
16826,trojan
11027,benign
6977,worm
11978,benign
1776,adware
8722,benign
1922,adware
9980,benign
10750,benign
8397,benign
12193,benign
2423,adware
9285,benign
7233,worm
15899,trojan
1557,adware
2421,adware
8515,benign
2215,adware
212,adware
15240,trojan
13359,trojan
16087,trojan
9564,benign
8093,worm
2495,adware
5245,worm
4758,worm
5397,worm
3572,adware
13829,trojan
1191,adware
14163,trojan
2805,adware
6811,worm
8184,worm
107,adware
3385,adware
7573,worm
13492,trojan
8111,worm
13425,trojan
15916,trojan
2877,adware
5073,worm
16366,trojan
13346,trojan
8039,worm
1298,adware
1342,adware
4604,worm
6447,worm
2365,adware
14965,trojan
14488,trojan
13688,trojan
4297,worm
511,adware
13791,trojan
16665,trojan
2917,adware
1945,adware
1979,adware
2123,adware
7879,worm
15575,trojan
7565,worm
6926,worm
4005,adware
6607,worm
10936,benign
368,adware
5550,worm
1718,adware
461,adware
5229,worm
2654,adware
9230,benign
103,adware
17072,trojan
7656,worm
15707,trojan
14125,trojan
3090,adware
16688,trojan
10131,benign
6543,worm
8009,worm
7462,worm
15910,trojan
4355,worm
16908,trojan
11141,benign
8070,worm
9320,benign
12044,benign
4304,worm
250,adware
7585,worm
2427,adware
5732,worm
3574,adware
11361,benign
13406,trojan
5191,worm
10275,benign
3227,adware
1549,adware
7219,worm
13986,trojan
17002,trojan
10223,benign
4532,worm
8383,benign
5565,worm
1801,adware
11039,benign
10725,benign
90,adware
16282,trojan
854,adware
12504,benign
10957,benign
11185,benign
12981,trojan
7951,worm
7086,worm
12762,trojan
2738,adware
12378,benign
2750,adware
320,adware
6852,worm
7328,worm
805,adware
14636,trojan
8475,benign
14306,trojan
3177,adware
8864,benign
143,adware
15823,trojan
9304,benign
15435,trojan
7137,worm
8671,benign
12776,trojan
5753,worm
12946,trojan
6577,worm
11549,benign
15711,trojan
2921,adware
7924,worm
11729,benign
12555,trojan
1844,adware
15091,trojan
37,adware
15097,trojan
6474,worm
4685,worm
9623,benign
3786,adware
16530,trojan
3021,adware
10853,benign
10371,benign
3970,adware
10063,benign
10383,benign
16272,trojan
159,adware
14657,trojan
7329,worm
9004,benign
15414,trojan
2633,adware
5102,worm
5339,worm
10579,benign
14874,trojan
10358,benign
10035,benign
11477,benign
6123,worm
16374,trojan
12932,trojan
13605,trojan
2397,adware
14149,trojan
11932,benign
292,adware
5104,worm
13458,trojan
672,adware
16549,trojan
4006,adware
4265,worm
10363,benign
9916,benign
8480,benign
11447,benign
16716,trojan
1023,adware
6262,worm
2351,adware
3271,adware
1260,adware
5449,worm
10096,benign
14167,trojan
12611,trojan
3923,adware
6141,worm
11834,benign
4698,worm
7536,worm
3653,adware
16259,trojan
3627,adware
16658,trojan
8065,worm
8174,worm
7028,worm
13133,trojan
5554,worm
11600,benign
14408,trojan
16657,trojan
8177,worm
16496,trojan
11527,benign
15972,trojan
3815,adware
3432,adware
177,adware
10558,benign
1836,adware
4238,worm
9234,benign
16898,trojan
3560,adware
10874,benign
4313,worm
9859,benign
5315,worm
6334,worm
2060,adware
6390,worm
8074,worm
3761,adware
3005,adware
10597,benign
14195,trojan
12287,benign
5858,worm
15691,trojan
15992,trojan
1242,adware
13760,trojan
2649,adware
8542,benign
6257,worm
13389,trojan
1856,adware
2686,adware
3882,adware
9795,benign
14759,trojan
10966,benign
6655,worm
4584,worm
8302,benign
15735,trojan
10326,benign
13066,trojan
9455,benign
6494,worm
14066,trojan
11996,benign
15476,trojan
7310,worm
7992,worm
15665,trojan
16408,trojan
4149,worm
5039,worm
10116,benign
5335,worm
7422,worm
11407,benign
14744,trojan
1091,adware
9371,benign
12867,trojan
5163,worm
14228,trojan
4552,worm
9376,benign
7956,worm
12607,trojan
1400,adware
5906,worm
10222,benign
1861,adware
10704,benign
231,adware
13686,trojan
9530,benign
6228,worm
15399,trojan
422,adware
11696,benign
8558,benign
8656,benign
12362,benign
5540,worm
11120,benign
8450,benign
4955,worm
5617,worm
13538,trojan
6965,worm
15840,trojan
10417,benign
13674,trojan
16062,trojan
4575,worm
16781,trojan
7111,worm
13888,trojan
12839,trojan
3266,adware
652,adware
2953,adware
861,adware
15958,trojan
7643,worm
7892,worm
2770,adware
3027,adware
11771,benign
3047,adware
10446,benign
10732,benign
4511,worm
12662,trojan
9064,benign
8678,benign
151,adware
14043,trojan
15743,trojan
9079,benign
1748,adware
16991,trojan
15627,trojan
2258,adware
14557,trojan
16963,trojan
3476,adware
11689,benign
5612,worm
10381,benign
3159,adware
15760,trojan
2628,adware
16526,trojan
16796,trojan
7266,worm
1631,adware
2840,adware
9519,benign
5915,worm
13096,trojan
3355,adware
9962,benign
13384,trojan
11927,benign
7991,worm
17003,trojan
14599,trojan
10204,benign
4283,worm
9042,benign
10032,benign
14923,trojan
5332,worm
6391,worm
14533,trojan
2003,adware
9268,benign
14015,trojan
13755,trojan
12854,trojan
979,adware
9081,benign
17043,trojan
885,adware
4240,worm
89,adware
4720,worm
10992,benign
9971,benign
5258,worm
1978,adware
15690,trojan
8378,benign
8436,benign
16724,trojan
13922,trojan
3736,adware
5813,worm
2778,adware
6597,worm
22,adware
11855,benign
70,adware
1652,adware
8574,benign
13281,trojan
8773,benign
8794,benign
444,adware
9926,benign
9862,benign
4033,adware
1655,adware
12650,trojan
4176,worm
9846,benign
14409,trojan
2367,adware
16643,trojan
14642,trojan
257,adware
5759,worm
8903,benign
13443,trojan
6335,worm
15438,trojan
9106,benign
14188,trojan
2214,adware
7663,worm
5797,worm
13547,trojan
8461,benign
3352,adware
2604,adware
15768,trojan
8614,benign
11737,benign
2927,adware
8061,worm
9166,benign
11309,benign
2740,adware
4096,adware
10975,benign
16261,trojan
2167,adware
4298,worm
9405,benign
679,adware
2318,adware
16293,trojan
16533,trojan
1854,adware
11112,benign
8618,benign
8392,benign
4404,worm
16013,trojan
5428,worm
3219,adware
11673,benign
8870,benign
8143,worm
3467,adware
14259,trojan
1328,adware
7471,worm
9689,benign
8863,benign
6350,worm
16097,trojan
16033,trojan
4734,worm
3960,adware
7570,worm
11966,benign
15207,trojan
7390,worm
2775,adware
2763,adware
2533,adware
11768,benign
4918,worm
12556,trojan
2198,adware
8173,worm
12795,trojan
13032,trojan
14728,trojan
12030,benign
8663,benign
1166,adware
9179,benign
10348,benign
16966,trojan
2637,adware
3952,adware
17115,trojan
2571,adware
9628,benign
2143,adware
4479,worm
13089,trojan
7066,worm
4873,worm
543,adware
10342,benign
17055,trojan
8509,benign
13041,trojan
16108,trojan
9357,benign
2358,adware
11313,benign
7829,worm
16271,trojan
1848,adware
13721,trojan
4013,adware
10549,benign
15202,trojan
2549,adware
4007,adware
11760,benign
13176,trojan
548,adware
11240,benign
12139,benign
10088,benign
8907,benign
14420,trojan
8309,benign
13785,trojan
5384,worm
13679,trojan
16984,trojan
15836,trojan
14783,trojan
5730,worm
6307,worm
10955,benign
9760,benign
510,adware
9939,benign
6340,worm
13252,trojan
15033,trojan
5957,worm
2419,adware
3489,adware
15060,trojan
13555,trojan
4289,worm
11799,benign
799,adware
6808,worm
7942,worm
5450,worm
5405,worm
13601,trojan
402,adware
15143,trojan
8159,worm
10072,benign
8164,worm
878,adware
12907,trojan
1880,adware
10555,benign
353,adware
293,adware
4495,worm
17110,trojan
1522,adware
11775,benign
5213,worm
12401,benign
1427,adware
3397,adware
583,adware
135,adware
2499,adware
10409,benign
7189,worm
6651,worm
8472,benign
13613,trojan
12474,benign
7715,worm
8033,worm
12201,benign
13195,trojan
16262,trojan
9109,benign
13835,trojan
2980,adware
2975,adware
3638,adware
10993,benign
16030,trojan
9767,benign
10526,benign
12725,trojan
1847,adware
9124,benign
10137,benign
13062,trojan
6198,worm
6877,worm
10710,benign
5821,worm
13462,trojan
6277,worm
16180,trojan
352,adware
14763,trojan
15343,trojan
11303,benign
3634,adware
4647,worm
7141,worm
6841,worm
4605,worm
11686,benign
7178,worm
8144,worm
9190,benign
398,adware
7210,worm
9867,benign
13928,trojan
15047,trojan
5031,worm
4631,worm
11811,benign
7477,worm
10645,benign
3722,adware
5485,worm
10684,benign
4829,worm
6296,worm
3421,adware
722,adware
12991,trojan
6176,worm
1871,adware
8987,benign
6974,worm
2373,adware
17094,trojan
12000,benign
15798,trojan
6847,worm
12847,trojan
7714,worm
2153,adware
3235,adware
11268,benign
14173,trojan
16302,trojan
2678,adware
1308,adware
13634,trojan
6239,worm
8002,worm
3851,adware
1555,adware
3008,adware
8699,benign
7962,worm
2818,adware
1474,adware
10164,benign
8823,benign
9650,benign
9297,benign
6898,worm
5826,worm
399,adware
7394,worm
1134,adware
781,adware
16212,trojan
10772,benign
15995,trojan
2404,adware
15087,trojan
14131,trojan
7181,worm
5240,worm
11931,benign
16534,trojan
7825,worm
3982,adware
11274,benign
10706,benign
7617,worm
3157,adware
2170,adware
15797,trojan
631,adware
3714,adware
16694,trojan
4759,worm
15201,trojan
13645,trojan
13453,trojan
6692,worm
1488,adware
13410,trojan
3979,adware
16243,trojan
5379,worm
8881,benign
8634,benign
10577,benign
13756,trojan
8077,worm
426,adware
7544,worm
3106,adware
4636,worm
1643,adware
9366,benign
1865,adware
15559,trojan
14712,trojan
282,adware
13236,trojan
11946,benign
8723,benign
13397,trojan
1866,adware
12608,trojan
3365,adware
16198,trojan
8134,worm
10574,benign
8028,worm
1972,adware
16579,trojan
3240,adware
1026,adware
13761,trojan
326,adware
7161,worm
13514,trojan
14866,trojan
15444,trojan
9748,benign
4306,worm
16274,trojan
13946,trojan
5873,worm
8942,benign
7121,worm
6673,worm
11306,benign
5263,worm
1375,adware
11171,benign
1021,adware
16387,trojan
10216,benign
15500,trojan
17067,trojan
4687,worm
15069,trojan
14271,trojan
5501,worm
9327,benign
3715,adware
12249,benign
5086,worm
16477,trojan
2744,adware
6683,worm
11535,benign
657,adware
60,adware
6274,worm
14901,trojan
7815,worm
7711,worm
163,adware
34,adware
5146,worm
2909,adware
5687,worm
15564,trojan
11652,benign
1258,adware
10407,benign
11041,benign
4084,adware
9993,benign
11947,benign
9291,benign
4932,worm
15602,trojan
6389,worm
14764,trojan
4232,worm
11576,benign
2993,adware
7371,worm
10177,benign
13271,trojan
1584,adware
36,adware
480,adware
10081,benign
3332,adware
1783,adware
13370,trojan
8103,worm
6632,worm
13715,trojan
4421,worm
249,adware
438,adware
11735,benign
7002,worm
15656,trojan
5492,worm
5038,worm
10838,benign
5824,worm
11068,benign
9111,benign
14900,trojan
13392,trojan
1653,adware
7026,worm
2398,adware
14956,trojan
14333,trojan
13307,trojan
16215,trojan
10701,benign
5960,worm
9696,benign
9972,benign
9251,benign
4071,adware
11388,benign
10108,benign
797,adware
4120,adware
7120,worm
10266,benign
8130,worm
1692,adware
12889,trojan
16759,trojan
16778,trojan
11461,benign
4523,worm
16139,trojan
14481,trojan
6312,worm
97,adware
13472,trojan
15990,trojan
3896,adware
8933,benign
13556,trojan
12084,benign
1700,adware
12142,benign
1501,adware
13544,trojan
6472,worm
6678,worm
14197,trojan
8801,benign
7305,worm
15081,trojan
6083,worm
11597,benign
2359,adware
8590,benign
10467,benign
15092,trojan
10056,benign
10584,benign
1354,adware
178,adware
13394,trojan
2949,adware
11077,benign
8772,benign
14646,trojan
5393,worm
11517,benign
8789,benign
8447,benign
8236,benign
2349,adware
15647,trojan
16923,trojan
16113,trojan
15879,trojan
14360,trojan
10384,benign
7551,worm
12728,trojan
9184,benign
7511,worm
5559,worm
8883,benign
10591,benign
14978,trojan
9329,benign
7634,worm
5575,worm
3616,adware
10631,benign
3885,adware
16978,trojan
13097,trojan
14363,trojan
8431,benign
9173,benign
4583,worm
6866,worm
11040,benign
10648,benign
5243,worm
10321,benign
10666,benign
5291,worm
11189,benign
15689,trojan
7953,worm
3895,adware
6580,worm
16133,trojan
8645,benign
2842,adware
15367,trojan
11971,benign
4691,worm
12584,trojan
9529,benign
3180,adware
11691,benign
5675,worm
12772,trojan
6134,worm
14968,trojan
11646,benign
8071,worm
11,adware
1602,adware
9613,benign
4041,adware
10028,benign
9545,benign
284,adware
206,adware
3255,adware
3840,adware
5483,worm
349,adware
8237,benign
7138,worm
11492,benign
1335,adware
6694,worm
16590,trojan
14134,trojan
12261,benign
5255,worm
11506,benign
16611,trojan
4912,worm
12050,benign
11899,benign
1277,adware
5694,worm
11962,benign
8360,benign
9864,benign
6255,worm
4869,worm
6584,worm
6598,worm
2764,adware
15982,trojan
8702,benign
5043,worm
15733,trojan
12348,benign
12217,benign
15601,trojan
12539,trojan
3845,adware
2671,adware
12128,benign
5173,worm
13598,trojan
3630,adware
14626,trojan
5799,worm
561,adware
8745,benign
15767,trojan
3588,adware
4019,adware
7806,worm
8748,benign
8731,benign
3252,adware
12373,benign
13989,trojan
12651,trojan
10458,benign
4643,worm
1135,adware
8341,benign
10614,benign
4910,worm
7926,worm
5941,worm
12185,benign
16977,trojan
6594,worm
11653,benign
3319,adware
13866,trojan
11561,benign
946,adware
4083,adware
8263,benign
20,adware
14867,trojan
8790,benign
5488,worm
12345,benign
14985,trojan
10129,benign
14782,trojan
2974,adware
10655,benign
15551,trojan
16258,trojan
8405,benign
14246,trojan
11871,benign
7359,worm
12878,trojan
12200,benign
7449,worm
10607,benign
13784,trojan
11556,benign
12643,trojan
1305,adware
6925,worm
12255,benign
6613,worm
5079,worm
2518,adware
13858,trojan
3013,adware
1992,adware
10355,benign
14989,trojan
14895,trojan
6647,worm
5547,worm
2799,adware
3677,adware
11731,benign
5032,worm
6989,worm
10161,benign
13750,trojan
16490,trojan
5874,worm
2016,adware
8853,benign
4106,adware
10413,benign
13030,trojan
6867,worm
1280,adware
6846,worm
7922,worm
11861,benign
10064,benign
15084,trojan
5533,worm
10146,benign
4808,worm
2729,adware
15692,trojan
5297,worm
4206,worm
16191,trojan
15369,trojan
1746,adware
15274,trojan
16646,trojan
14123,trojan
15567,trojan
12931,trojan
8176,worm
2528,adware
6308,worm
4,adware
10459,benign
5648,worm
314,adware
5997,worm
12297,benign
8437,benign
1773,adware
16164,trojan
8995,benign
8036,worm
15876,trojan
14941,trojan
4785,worm
11976,benign
2213,adware
944,adware
9066,benign
1066,adware
2048,adware
7444,worm
1014,adware
7466,worm
6499,worm
7467,worm
16060,trojan
12677,trojan
10043,benign
6213,worm
15867,trojan
9938,benign
12682,trojan
11632,benign
6886,worm
6921,worm
6881,worm
3140,adware
10147,benign
4341,worm
15393,trojan
9992,benign
17018,trojan
15425,trojan
10791,benign
13945,trojan
9718,benign
16586,trojan
16599,trojan
3134,adware
1943,adware
15833,trojan
9645,benign
15492,trojan
3872,adware
12450,benign
546,adware
12886,trojan
5514,worm
12479,benign
6396,worm
10626,benign
2279,adware
3591,adware
3690,adware
8721,benign
15325,trojan
12026,benign
16175,trojan
15873,trojan
15595,trojan
11545,benign
15587,trojan
83,adware
10435,benign
12487,benign
14309,trojan
9400,benign
4365,worm
14092,trojan
12125,benign
6591,worm
6044,worm
11267,benign
4623,worm
1901,adware
10539,benign
8233,benign
15771,trojan
965,adware
10002,benign
4888,worm
329,adware
4364,worm
3020,adware
1899,adware
1377,adware
91,adware
5051,worm
9463,benign
15423,trojan
6469,worm
3469,adware
1244,adware
5239,worm
229,adware
13815,trojan
1454,adware
3108,adware
15452,trojan
3358,adware
3570,adware
16500,trojan
8529,benign
14674,trojan
3915,adware
11304,benign
10588,benign
13380,trojan
9336,benign
8163,worm
2558,adware
14736,trojan
16614,trojan
10376,benign
14174,trojan
12091,benign
6509,worm
3293,adware
2177,adware
14869,trojan
715,adware
13191,trojan
3065,adware
12085,benign
5036,worm
7719,worm
11936,benign
8901,benign
16959,trojan
7337,worm
11803,benign
9912,benign
8688,benign
15177,trojan
1081,adware
1745,adware
5959,worm
7920,worm
1834,adware
1440,adware
6548,worm
10566,benign
5003,worm
9441,benign
5634,worm
15465,trojan
6085,worm
10819,benign
16438,trojan
15572,trojan
4697,worm
10798,benign
12270,benign
4641,worm
6501,worm
2875,adware
8526,benign
15611,trojan
9049,benign
13465,trojan
13599,trojan
7661,worm
8744,benign
3848,adware
1753,adware
7403,worm
2138,adware
4776,worm
16734,trojan
3552,adware
11726,benign
13103,trojan
8549,benign
14416,trojan
993,adware
6272,worm
3264,adware
2021,adware
4725,worm
16448,trojan
14350,trojan
98,adware
4249,worm
10296,benign
8540,benign
14316,trojan
16263,trojan
10613,benign
16622,trojan
12337,benign
3088,adware
7546,worm
10224,benign
12648,trojan
8407,benign
16525,trojan
14198,trojan
10876,benign
7998,worm
16653,trojan
12225,benign
8258,benign
6463,worm
4883,worm
16927,trojan
10739,benign
16795,trojan
6254,worm
9923,benign
5561,worm
16605,trojan
8572,benign
1616,adware
246,adware
14482,trojan
12369,benign
6226,worm
2922,adware
9220,benign
11778,benign
551,adware
8728,benign
17100,trojan
2118,adware
7748,worm
7907,worm
8151,worm
11347,benign
11211,benign
7059,worm
13235,trojan
11282,benign
5668,worm
5153,worm
9946,benign
6115,worm
2605,adware
13862,trojan
7418,worm
7318,worm
3129,adware
1881,adware
4653,worm
7041,worm
5440,worm
14663,trojan
8433,benign
5154,worm
16450,trojan
17005,trojan
14778,trojan
11755,benign
16236,trojan
6564,worm
3042,adware
985,adware
13264,trojan
6589,worm
16506,trojan
871,adware
1012,adware
4362,worm
17082,trojan
5801,worm
6956,worm
6295,worm
14855,trojan
11865,benign
7162,worm
11613,benign
4460,worm
7425,worm
10575,benign
2560,adware
4449,worm
13450,trojan
10774,benign
9346,benign
897,adware
6992,worm
3462,adware
16807,trojan
10646,benign
7222,worm
10977,benign
4827,worm
14628,trojan
12233,benign
15806,trojan
13135,trojan
449,adware
10988,benign
5216,worm
